id,name,category,price,stock,description,indication,dosage,ingredients,benefits,side_effects,expiry,type,photo,is_active,tags
130,Promag Herbal,Lambung & Maag,18000.0,275,"Temulawak, Kunyit, Menthol",Maag herbal; Gejala: maag herbal; lambung herbal,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Temulawak, Kunyit, Menthol",Maag herbal; maag herbal; lambung herbal; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2026-12-31,Produk,/medicines/Promag Herbal.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
131,Promag Botol 30ml,Lambung & Maag,12000.0,394,"Hydrotalcite, Mg(OH)2, Simethicone suspensi",Maag suspensi cair; Gejala: maag cair; suspensi maag,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Hydrotalcite, Mg(OH)2, Simethicone suspensi",Maag suspensi cair; maag cair; suspensi maag; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Diare/sembelit,2028-03-15,Produk,/medicines/Promag Botol 30ml.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
132,Mylanta Tablet,Lambung & Maag,12000.0,438,"Al(OH)3 200mg, Mg(OH)2 200mg, Simethicone 20mg",Asam lambung tinggi; Gejala: asam lambung naik; perih perut,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Al(OH)3 200mg, Mg(OH)2 200mg, Simethicone 20mg",Asam lambung tinggi; asam lambung naik; perih perut; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Sembelit,2029-01-15,Tablet,/medicines/Mylanta Tablet.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
133,Mylanta Cair 50 ml,Lambung & Maag,18000.0,215,"Al(OH)3, Mg(OH)2, Simethicone suspensi",Asam lambung tinggi suspensi; Gejala: asam lambung; mulas,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Al(OH)3, Mg(OH)2, Simethicone suspensi",Asam lambung tinggi suspensi; asam lambung; mulas; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Sembelit,2029-01-15,Produk,/medicines/Mylanta Cair 50 ml.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
134,Mylanta Cair 150 ml,Lambung & Maag,45000.0,296,"Al(OH)3, Mg(OH)2, Simethicone suspensi besar",Asam lambung tinggi kemasan besar; Gejala: asam lambung; kemasan besar,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Al(OH)3, Mg(OH)2, Simethicone suspensi besar",Asam lambung tinggi kemasan besar; asam lambung; kemasan besar; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Sembelit,2029-01-15,Produk,/medicines/Mylanta Cair 150 ml.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
135,Mylanta Strip 4s,Lambung & Maag,5000.0,326,"Al(OH)3, Mg(OH)2, Simethicone",Asam lambung strip praktis; Gejala: asam lambung strip,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Al(OH)3, Mg(OH)2, Simethicone",Asam lambung strip praktis; asam lambung strip; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Sembelit,2028-12-31,Produk,/medicines/Mylanta Strip 4s.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
136,Polysilane Tablet Kunyah,Lambung & Maag,11000.0,215,"Simethicone, Al(OH)3, Mg(OH)2",Kembung dan maag; Gejala: perut kembung parah; ulu hati,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Simethicone, Al(OH)3, Mg(OH)2",Kembung dan maag; perut kembung parah; ulu hati; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Sembelit,2026-12-31,Tablet,/medicines/Polysilane Tablet Kunyah.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
137,Polysilane Suspensi 100ml,Lambung & Maag,28000.0,228,"Simethicone, Al(OH)3, Mg(OH)2 suspensi",Kembung dan maag suspensi; Gejala: kembung suspensi,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Simethicone, Al(OH)3, Mg(OH)2 suspensi",Kembung dan maag suspensi; kembung suspensi; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Sembelit,2027-06-30,Produk,/medicines/Polysilane Suspensi 100ml.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
138,Polysilane Max Peppermint,Lambung & Maag,15000.0,189,"Simethicone, Antasida, Menthol",Kembung dan maag rasa mint; Gejala: kembung mint; maag mint,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Simethicone, Antasida, Menthol",Kembung dan maag rasa mint; kembung mint; maag mint; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Sembelit,2026-12-31,Produk,/medicines/Polysilane Max Peppermint.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
139,Waisan Sachet,Lambung & Maag,2500.0,435,"Antasida, Sodium Bicarbonate",Sakit maag sachet praktis; Gejala: mual maag; perih sachet,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Antasida, Sodium Bicarbonate",Sakit maag sachet praktis; mual maag; perih sachet; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Sendawa, kembung karena gas",2026-12-31,Sachet,/medicines/Waisan Sachet.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
140,Antasida Doen Tablet,Lambung & Maag,3000.0,429,"Al(OH)3 200mg, Mg(OH)2 200mg",Maag generik murah; Gejala: maag murah; generik antasida,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Al(OH)3 200mg, Mg(OH)2 200mg",Maag generik murah; maag murah; generik antasida; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Sembelit,2027-06-30,Tablet,/medicines/Antasida Doen Tablet.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
141,Antasida Doen Sirup 60ml,Lambung & Maag,7000.0,403,"Al(OH)3, Mg(OH)2 suspensi generik",Maag suspensi generik; Gejala: maag sirup generik,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Al(OH)3, Mg(OH)2 suspensi generik",Maag suspensi generik; maag sirup generik; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Sembelit,2029-01-15,Sirup,/medicines/Antasida Doen Sirup 60ml.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
142,Antasida Doen Botol 60ml,Lambung & Maag,8000.0,339,"Al(OH)3, Mg(OH)2",Maag generik botol; Gejala: maag generik botol,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Al(OH)3, Mg(OH)2",Maag generik botol; maag generik botol; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Sembelit,2028-12-31,Produk,/medicines/Antasida Doen Botol 60ml.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
143,Plantacid Forte Tablet,Lambung & Maag,18000.0,322,"Al(OH)3, Mg(OH)2, Simethicone dosis tinggi",Maag dan tukak lambung; Gejala: tukak lambung; maag berat,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Al(OH)3, Mg(OH)2, Simethicone dosis tinggi",Maag dan tukak lambung; tukak lambung; maag berat; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Sembelit,2027-06-30,Tablet,/medicines/Plantacid Forte Tablet.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
144,Plantacid Sirup 100ml,Lambung & Maag,35000.0,121,"Al(OH)3, Mg(OH)2, Simethicone sirup",Tukak lambung sirup; Gejala: tukak lambung sirup,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Al(OH)3, Mg(OH)2, Simethicone sirup",Tukak lambung sirup; tukak lambung sirup; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Sembelit,2027-06-30,Sirup,/medicines/Plantacid Sirup 100ml.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
145,Plantacid Forte Sirup 100ml,Lambung & Maag,45000.0,187,"Al(OH)3, Mg(OH)2, Simethicone forte sirup",Tukak lambung berat; Gejala: tukak lambung berat sirup,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Al(OH)3, Mg(OH)2, Simethicone forte sirup",Tukak lambung berat; tukak lambung berat sirup; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Sembelit,2028-03-15,Sirup,/medicines/Plantacid Forte Sirup 100ml.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
146,Omeprazole Kapsul 20mg,Lambung & Maag,15000.0,473,Omeprazole 20mg,"GERD, maag kronis, tukak lambung; Gejala: gerd; asam lambung kronis; maag berat",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Omeprazole 20mg,"GERD, maag kronis, tukak lambung; gerd; asam lambung kronis; maag berat; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.","Sakit kepala, diare",2029-01-15,Kapsul,/medicines/Omeprazole Kapsul 20mg.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
147,Omeprazole Strip 10s,Lambung & Maag,12000.0,273,Omeprazole 20mg,GERD strip praktis; Gejala: gerd strip; asam lambung,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Omeprazole 20mg,GERD strip praktis; gerd strip; asam lambung; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Sakit kepala,2028-12-31,Produk,/medicines/Omeprazole Strip 10s.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
148,Lansoprazole Kapsul 30mg,Lambung & Maag,25000.0,168,Lansoprazole 30mg,"GERD berat, tukak lambung; Gejala: gerd berat; maag tidak sembuh",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Lansoprazole 30mg,"GERD berat, tukak lambung; gerd berat; maag tidak sembuh; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.","Diare, sakit kepala",2028-12-31,Kapsul,/medicines/Lansoprazole Kapsul 30mg.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
149,Polycrol Forte Tablet,Lambung & Maag,22000.0,123,"Simethicone, Antasida",Kembung keras dan maag; Gejala: kembung keras; lambung penuh,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Simethicone, Antasida",Kembung keras dan maag; kembung keras; lambung penuh; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Konstipasi,2028-12-31,Tablet,/medicines/Polycrol Forte Tablet.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
150,Polycrol Forte Gel 100ml,Lambung & Maag,42000.0,442,"Simethicone, Antasida gel",Maag dengan kembung berat gel; Gejala: kembung gel; lambung perih,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Simethicone, Antasida gel",Maag dengan kembung berat gel; kembung gel; lambung perih; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Konstipasi,2029-01-15,Gel,/medicines/Polycrol Forte Gel 100ml.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
151,Ranitidine Tablet 150mg,Lambung & Maag,8000.0,431,Ranitidine HCl 150mg,Maag dan GERD (H2 blocker); Gejala: maag h2 blocker; gerd; asam lambung,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Ranitidine HCl 150mg,Maag dan GERD (H2 blocker); maag h2 blocker; gerd; asam lambung; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Sakit kepala, pusing",2027-06-30,Tablet,https://placehold.co/400x300/f8fafc/10b981?text=Ranitidine+Tablet+150mg,True,"[""otc"",""indonesia"",""chatbot-ready""]"
152,Sucralfate Suspensi,Lambung & Maag,35000.0,477,Sucralfate 500mg/5ml,Tukak lambung dan GERD pelindung mukosa; Gejala: tukak lambung pelindung; gerd,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Sucralfate 500mg/5ml,Tukak lambung dan GERD pelindung mukosa; tukak lambung pelindung; gerd; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Sembelit,2026-12-31,Produk,https://placehold.co/400x300/f8fafc/10b981?text=Sucralfate+Suspensi,True,"[""otc"",""indonesia"",""chatbot-ready""]"
153,Gasmotin Tablet,Lambung & Maag,45000.0,195,Mosapride Citrate 5mg,"Dispepsia, lambung lambat, mual; Gejala: lambung lambat; dispepsia; mual",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Mosapride Citrate 5mg,"Dispepsia, lambung lambat, mual; lambung lambat; dispepsia; mual; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.","Diare, nyeri kepala",2029-01-15,Tablet,https://placehold.co/400x300/f8fafc/10b981?text=Gasmotin+Tablet,True,"[""otc"",""indonesia"",""chatbot-ready""]"
154,Nairet Tablet,Lambung & Maag,25000.0,473,Bismuth Subcitrate,Tukak lambung H. pylori; Gejala: helicobacter pylori; tukak lambung,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Bismuth Subcitrate,Tukak lambung H. pylori; helicobacter pylori; tukak lambung; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Feses hitam, mual",2028-12-31,Tablet,https://placehold.co/400x300/f8fafc/10b981?text=Nairet+Tablet,True,"[""otc"",""indonesia"",""chatbot-ready""]"
155,Entrostop Tablet,Pencernaan & Diare,9000.0,439,"Attapulgite 300mg, Pectin 100mg",Diare non-spesifik; Gejala: diare; mencret; mulas,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Attapulgite 300mg, Pectin 100mg",Diare non-spesifik; diare; mencret; mulas; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Sembelit, mual",2027-06-30,Tablet,/medicines/Entrostop Tablet.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
156,Entrostop Anak Sirup,Pencernaan & Diare,18000.0,494,"Attapulgite, Pectin sirup anak",Diare anak; Gejala: diare anak; mencret anak,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Attapulgite, Pectin sirup anak",Diare anak; diare anak; mencret anak; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Sembelit,2028-12-31,Sirup,/medicines/Entrostop Anak Sirup.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
157,Diatabs Tablet,Pencernaan & Diare,7500.0,263,Attapulgite 600mg,Diare menyerap racun; Gejala: diare keracunan; mencret air,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Attapulgite 600mg,Diare menyerap racun; diare keracunan; mencret air; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Sembelit,2028-03-15,Tablet,/medicines/Diatabs Tablet.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
158,Diapet Kapsul Strip 4s,Pencernaan & Diare,3500.0,347,"Daun Jambu Biji, Kunyit",Diare herbal; Gejala: diare herbal; mules,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Daun Jambu Biji, Kunyit",Diare herbal; diare herbal; mules; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2028-12-31,Kapsul,/medicines/Diapet Kapsul Strip 4s.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
159,Diapet Kapsul Strip 10s,Pencernaan & Diare,8000.0,106,"Daun Jambu Biji, Kunyit",Diare herbal kemasan besar; Gejala: diare herbal,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Daun Jambu Biji, Kunyit",Diare herbal kemasan besar; diare herbal; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2028-03-15,Kapsul,/medicines/Diapet Kapsul Strip 10s.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
160,Diapet Anak Sirup,Pencernaan & Diare,15000.0,197,"Daun Jambu Biji, Kunyit sirup",Diare anak herbal; Gejala: diare anak herbal; mencret anak,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Daun Jambu Biji, Kunyit sirup",Diare anak herbal; diare anak herbal; mencret anak; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2027-06-30,Sirup,/medicines/Diapet Anak Sirup.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
161,Diapet Box isi 120 Tablet,Pencernaan & Diare,65000.0,51,"Daun Jambu Biji, Kunyit tablet",Diare herbal stok besar; Gejala: diare herbal besar,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Daun Jambu Biji, Kunyit tablet",Diare herbal stok besar; diare herbal besar; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2028-03-15,Tablet,/medicines/Diapet Box isi 120 Tablet.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
162,Norit Tube (40 Tablet),Pencernaan & Diare,25000.0,297,Activated Charcoal 260mg,"Keracunan makanan, kembung berlebih; Gejala: keracunan makanan; salah makan; norit",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Activated Charcoal 260mg,"Keracunan makanan, kembung berlebih; keracunan makanan; salah makan; norit; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Feses hitam,2028-12-31,Tablet,/medicines/Norit Tube (40 Tablet).webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
163,Norit Box 50s,Pencernaan & Diare,30000.0,357,Activated Charcoal 260mg,Keracunan makanan stok; Gejala: keracunan; norit,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Activated Charcoal 260mg,Keracunan makanan stok; keracunan; norit; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Feses hitam,2027-06-30,Produk,/medicines/Norit Box 50s.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
164,Dulcolax Tablet 5 mg,Pencernaan & Diare,22000.0,415,Bisacodyl 5mg,Sembelit; Gejala: susah bab; sembelit; pencahar,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Bisacodyl 5mg,Sembelit; susah bab; sembelit; pencahar; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Kram perut, diare",2026-12-31,Tablet,/medicines/Dulcolax Tablet 5 mg.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
165,Dulcolax Suppositoria 10mg,Pencernaan & Diare,35000.0,408,Bisacodyl 10mg,Sembelit dengan suppositoria dewasa; Gejala: sembelit berat; suppositoria dewasa,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Bisacodyl 10mg,Sembelit dengan suppositoria dewasa; sembelit berat; suppositoria dewasa; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Kram perut,2028-12-31,Produk,/medicines/Dulcolax Suppositoria 10mg.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
166,Dulcolax Anak Suppositoria 5mg,Pencernaan & Diare,30000.0,230,Bisacodyl 5mg,Sembelit anak dengan suppositoria; Gejala: sembelit anak; suppositoria anak,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Bisacodyl 5mg,Sembelit anak dengan suppositoria; sembelit anak; suppositoria anak; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Kram perut,2028-12-31,Produk,/medicines/Dulcolax Anak Suppositoria 5mg.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
167,Dulcolax Botol 120ml,Pencernaan & Diare,35000.0,459,Bisacodyl 5mg/5ml sirup,Sembelit sirup; Gejala: sembelit sirup; susah bab sirup,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Bisacodyl 5mg/5ml sirup,Sembelit sirup; sembelit sirup; susah bab sirup; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Kram perut, mual",2029-01-15,Produk,/medicines/Dulcolax Botol 120ml.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
168,Microlax Tube 5ml,Pencernaan & Diare,28000.0,112,"Na Lauryl Sulfoacetate, Sorbitol",Sembelit segera cair; Gejala: bab keras; sembelit parah; pencahar instan,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Na Lauryl Sulfoacetate, Sorbitol",Sembelit segera cair; bab keras; sembelit parah; pencahar instan; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Ketidaknyamanan anus,2029-01-15,Produk,/medicines/Microlax Tube 5ml.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
169,Oralit Sachet,Pencernaan & Diare,1000.0,211,"Glukosa 20g, NaCl 3.5g, KCl 1.5g, NaHCO3 2.5g",Rehidrasi saat diare; Gejala: dehidrasi diare; oralit; cairan tubuh,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Glukosa 20g, NaCl 3.5g, KCl 1.5g, NaHCO3 2.5g",Rehidrasi saat diare; dehidrasi diare; oralit; cairan tubuh; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Mual bila terlalu cepat,2027-06-30,Sachet,/medicines/Oralit Sachet.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
170,Lodia Tablet,Pencernaan & Diare,25000.0,151,Loperamide HCl 2mg,Diare akut menghentikan segera; Gejala: diare akut parah; diare air,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Loperamide HCl 2mg,Diare akut menghentikan segera; diare akut parah; diare air; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Sembelit, pusing",2028-03-15,Tablet,/medicines/Lodia Tablet.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
171,Lodia Box 100s,Pencernaan & Diare,180000.0,61,Loperamide HCl 2mg,Diare akut stok besar; Gejala: diare akut stok,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Loperamide HCl 2mg,Diare akut stok besar; diare akut stok; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Sembelit,2028-12-31,Produk,/medicines/Lodia Box 100s.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
172,Lacto-B Sachet,Pencernaan & Diare,8000.0,365,"Lactobacillus acidophilus, L. bulgaricus, Streptococcus thermophilus",Diare anak + probiotik; Gejala: probiotik diare; mencret anak; flora usus,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Lactobacillus acidophilus, L. bulgaricus, Streptococcus thermophilus",Diare anak + probiotik; probiotik diare; mencret anak; flora usus; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2027-06-30,Sachet,/medicines/Lacto-B Sachet.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
173,Liprolac Sachet,Pencernaan & Diare,9000.0,243,Multi-strain probiotik,Kesehatan pencernaan; Gejala: probiotik; pencernaan sehat,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Multi-strain probiotik,Kesehatan pencernaan; probiotik; pencernaan sehat; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2026-12-31,Sachet,/medicines/Liprolac Sachet.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
174,Liprolac Baby Drops,Pencernaan & Diare,150000.0,56,Multi-strain probiotik drops,Pencernaan bayi sehat; Gejala: probiotik bayi; kolik bayi,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Multi-strain probiotik drops,Pencernaan bayi sehat; probiotik bayi; kolik bayi; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2029-01-15,Tetes,/medicines/Liprolac Baby Drops.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
175,Liprolac Botol 30ml,Pencernaan & Diare,45000.0,280,Multi-strain probiotik sirup,Pencernaan anak; Gejala: probiotik anak,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Multi-strain probiotik sirup,Pencernaan anak; probiotik anak; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2029-01-15,Produk,/medicines/Liprolac Botol 30ml.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
176,Liprolac Botol 120ml,Pencernaan & Diare,85000.0,54,Multi-strain probiotik sirup besar,Pencernaan keluarga; Gejala: probiotik keluarga,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Multi-strain probiotik sirup besar,Pencernaan keluarga; probiotik keluarga; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2028-03-15,Produk,/medicines/Liprolac Botol 120ml.webp,True,"[""otc"",""indonesia"",""chatbot-ready""]"
